ZIP_CODE,COUNTY,Y,STORE_TYPE,CITY,Ï»¿X,LATITUDE,ADDITONAL_ADDRESS,INCENTIVE_PROGRAM,GRANTEE_NAME,STORE_NAME,STATE,OBJECTID,STORE_STREET_ADDRESS,RECORD_ID,ZIP4,LONGITUDE
75040,DALLAS,3887134.55698238,Supermarket,GARLAND,-10753936.586383,32.938431,,,,TOM THUMB  2578,TX,14498.0,2535 FIREWHEEL PKWY,457677.0,2862,-96.604256
75060,DALLAS,3870018.8650971,Super Store,IRVING,-10793547.9573895,32.809299,,,,KROGER 495,TX,15023.0,515 S MACARTHUR BLVD,360677.0,2730,-96.960091
75208,DALLAS,3860986.48037134,Grocery Store,DALLAS,-10781087.8554655,32.741077,,,,SUPER MERCADO MEXICO # 1,TX,15109.0,501 S ROSEMONT AVE,441834.0,5841,-96.84816
75218,DALLAS,3875454.18562843,Discount Retail,DALLAS,-10763165.8627257,32.850327,Ste 200,,,DOLLAR GENERAL 9369,TX,15363.0,11255 GARLAND RD,442683.0,2518,-96.687164
75227,DALLAS,3863703.99394601,Super Store,DALLAS,-10762849.1587744,32.761608,,,,Fiesta Mart 57,TX,15504.0,2951 S BUCKNER BLVD,361068.0,6908,-96.684319
75216,DALLAS,3857126.04323834,Convenience Store,DALLAS,-10773981.7757707,32.711903,,,,STOP AND SAVE FOOD STORE,TX,15594.0,3525 SUNNYVALE ST,413662.0,4750,-96.784325
75230,DALLAS,3883169.26750519,Super Store,DALLAS,-10775933.4290833,32.908531,,,,Whole Foods Market 10227,TX,15617.0,11700 PRESTON RD,437977.0,6112,-96.801857
75234,DALLAS,3889083.2120428,Pharmacy,DALLAS,-10782745.6253224,32.953121,,,,WALGREENS  4746,TX,15792.0,3400 BELT LINE RD,361314.0,2420,-96.863052
75043,DALLAS,3873888.69678613,Super Store,GARLAND,-10753274.9033298,32.838512,,,,KROGER 403,TX,15972.0,532 W INTERSTATE 30,437418.0,5700,-96.598312
75224,DALLAS,3858631.61431284,Super Store,DALLAS,-10779322.1057025,32.723282,,,,KROGER 213,TX,16313.0,752 WYNNEWOOD VILLAGE SHP CTR,417613.0,1831,-96.832298
