STORE_STREET_ADDRESS,CITY,FOOD_COMPOSITE_KEY
2600 W JEFFERSON BLVD,DALLAS,2600 W JEFFERSON BLVD DALLAS
128 W BELT LINE RD,CEDAR HILL,128 W BELT LINE RD CEDAR HILL
216 WESTERN PARK SHOPPING VLG,DALLAS,216 WESTERN PARK SHOPPING VLG DALLAS
383 W JEFFERSON BLVD,DALLAS,383 W JEFFERSON BLVD DALLAS
3249 W CAMP WISDOM RD,DALLAS,3249 W CAMP WISDOM RD DALLAS
2253 W BELT LINE RD,LANCASTER,2253 W BELT LINE RD LANCASTER
1220 N TOWN EAST BLVD,MESQUITE,1220 N TOWN E BLVD MESQUITE
341 E BELT LINE RD,WILMER,341 E BELT LINE RD WILMER
4422 S MARSALIS AVE,DALLAS,4422 S MARSALIS AVE DALLAS
10909 WEBBS CHAPEL RD,DALLAS,10909 WEBBS CHAPEL RD DALLAS
4519 W JEFFERSON BLVD,DALLAS,4519 W JEFFERSON BLVD DALLAS
8152 SPRING VALLEY RD,DALLAS,8152 SPRING VALLEY RD DALLAS
1622 N STATE HIGHWAY 360,GRAND PRAIRIE,1622 N STATE HIGHWAY 360 GRAND PRAIRIE
1380 W CAMPBELL RD,RICHARDSON,1380 W CAMPBELL RD RICHARDSON
3500 N BELT LINE RD STE 110,IRVING,3500 N BELT LINE RD STE 110 IRVING
951 W BELT LINE RD,DESOTO,951 W BELT LINE RD DESOTO
1719 SINGLETON BLVD,DALLAS,1719 SINGLETON BLVD DALLAS
5270 S STATE HIGHWAY 360,GRAND PRAIRIE,5270 S STATE HIGHWAY 360 GRAND PRAIRIE
3338 BROADWAY BLVD,GARLAND,3338 BROADWAY BLVD GARLAND
2506 S BELT LINE RD,GRAND PRAIRIE,2506 S BELT LINE RD GRAND PRAIRIE
4210 LYNDON B JOHNSON FWY,DALLAS,4210 LYNDON B JOHNSON FWY DALLAS
818 E MAIN ST,MESQUITE,818 E MAIN ST MESQUITE
1710 S HAMPTON RD,GLENN HEIGHTS,1710 S HAMPTON RD GLENN HEIGHTS
2510 BELT LINE RD,GARLAND,2510 BELT LINE RD GARLAND
3012 MOCKINGBIRD LN,DALLAS,3012 MOCKINGBIRD LN DALLAS
2142 N JOSEY LN,CARROLLTON,2142 N JOSEY LN CARROLLTON
1425 BUCKINGHAM RD,RICHARDSON,1425 BUCKINGHAM RD RICHARDSON
2425 W WALNUT ST,GARLAND,2425 W WALNUT ST GARLAND
726 W PIONEER PKWY,GRAND PRAIRIE,726 W PIONEER PKWY GRAND PRAIRIE
2910 MAYFIELD RD,GRAND PRAIRIE,2910 MAYFIELD RD GRAND PRAIRIE
5911 LOVETT AVE,DALLAS,5911 LOVETT AVE DALLAS
2905 ARKANSAS LN,GRAND PRAIRIE,2905 ARKANSAS LN GRAND PRAIRIE
1629 N TOWN EAST BLVD,MESQUITE,1629 N TOWN E BLVD MESQUITE
1009 W ROCHELLE RD,IRVING,1009 W ROCHELLE RD IRVING
