ADDITONAL_ADDRESS,STATE,COUNTY,LONGITUDE,STORE_NAME,STORE_TYPE,ZIP4,Ï»¿X,GRANTEE_NAME,RECORD_ID,INCENTIVE_PROGRAM,Y,OBJECTID,STORE_STREET_ADDRESS,LATITUDE,ZIP_CODE,CITY,CUISINE_TYPE,CATEGORY,SUBCATEGORY,SUB_SUBCATEGORY
,TX,DALLAS,-97.006607,Walmart SUPERCENTER 880,Super Store,5913,-10798726.0948232,,233120.0,,3873639.61578842,7720.0,4100 W AIRPORT FWY,32.836632,75062,IRVING,Uncategorized,,,
,TX,DALLAS,-96.866028,Fiesta Mart 32,Super Store,3555,-10783076.912127,,380409.0,,3877686.51054326,7933.0,9727 WEBB CHAPEL RD,32.867172,75220,DALLAS,Mexican,Americas,Latin America - Central America,Mexico
,TX,DALLAS,-96.934486,DOLLAR GENERAL 7170,Discount Retail,3124,-10790697.6218277,,380478.0,,3870156.8764387,7940.0,400 S NURSERY RD,32.810341,75060,IRVING,Uncategorized,,,
,TX,DALLAS,-96.683952,Albertsons 4260,Supermarket,5477,-10762808.3045213,,380578.0,,3886185.81578491,7950.0,2165 BUCKINGHAM RD,32.931278,75081,RICHARDSON,General Retail/Food/Other,,,
,TX,DALLAS,-96.720451,TOM THUMB  3560,Supermarket,8265,-10766871.3546158,,296764.0,,3881525.98797633,8109.0,8698 SKILLMAN ST,32.896137,75243,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.65007,KROGER 559,Super Store,5841,-10759036.5775342,,332357.0,,3884020.16672407,8174.0,1406 W WALNUT ST,32.914948,75042,GARLAND,Uncategorized,,,
,TX,DALLAS,-97.016342,CVS/ PHARMACY INC 7421,Pharmacy,4708,-10799809.7900661,,272719.0,,3856834.31888332,8300.0,810 W PIONEER PKWY,32.709698,75051,GRAND PRAIRIE,Uncategorized,,,
,TX,DALLAS,-96.738815,Walmart Supercenter 2427,Super Store,    ,-10768915.6257447,,297044.0,,3883479.41359099,8499.0,9301 FOREST LANE,32.91087,75243,DALLAS,Uncategorized,,,
Ste C,TX,DALLAS,-96.752419,La Michoacana Meat Market 02,Supermarket,4232,-10770430.0160974,,297107.0,,3887292.40058322,8638.0,8702 SPRING VALLEY RD,32.939621,75240,DALLAS,Mexican,Americas,Latin America - Central America,Mexico
,TX,DALLAS,-96.875183,La Michoacana Meat Market 07,Super Store,2524,-10784096.0420652,,274004.0,,3862321.00291502,8787.0,833 N WESTMORELAND RD,32.75116,75211,DALLAS,Mexican,Americas,Latin America - Central America,Mexico
,TX,DALLAS,-97.003349,TOM THUMB  1786,Supermarket,3203,-10798363.4159222,,297668.0,,3851748.22797765,8874.0,4215 S CARRIER PKWY,32.671246,75052,GRAND PRAIRIE,General Retail/Food/Other,,,
,TX,DALLAS,-96.855812,TOM THUMB  3623,Supermarket,3938,-10781939.672209,,381996.0,,3842761.52167972,8958.0,210 E PLEASANT RUN RD,32.603264,75115,DESOTO,General Retail/Food/Other,,,
Ste 124,TX,DALLAS,-96.610352,DOLLAR GENERAL 8993,Discount Retail,5738,-10754615.1899989,,383772.0,,3868039.07048987,9048.0,2110 N GALLOWAY AVE,32.79435,75150,MESQUITE,Uncategorized,,,
,TX,DALLAS,-96.856514,CVS/ PHARMACY INC 6781,Pharmacy,1637,-10782017.8184916,,355882.0,,3858248.55467848,9073.0,2323 W ILLINOIS AVE,32.720387,75224,DALLAS,Uncategorized,,,
