GRANTEE_NAME,STORE_NAME,ADDITONAL_ADDRESS,LATITUDE,OBJECTID,CITY,STORE_STREET_ADDRESS,ZIP4,COUNTY,INCENTIVE_PROGRAM,Y,ZIP_CODE,RECORD_ID,STATE,STORE_TYPE,Ï»¿X,LONGITUDE
,Circle K 2740946,,32.81451,75734,IRVING,101 S MACARTHUR BLVD,2752,DALLAS,,3870709.07044326,75060,887165.0,TX,Convenience Store,-10793541.946137,-96.960037
,Circle K 2742406,,32.736725,75790,DALLAS,4402 W JEFFERSON BLVD,4623,DALLAS,,3860410.5236455,75211,888789.0,TX,Convenience Store,-10785955.9681174,-96.891891
,Circle K 2744529,,32.6464,75802,SEAGOVILLE,531 E MALLOY BRIDGE RD,3117,DALLAS,,3848462.98272316,75159,888898.0,TX,Convenience Store,-10746223.258866,-96.534966
,QuikTrip 933,,32.875221,75881,DALLAS,7104 GREENVILLE AVE,5127,DALLAS,,3878753.3259279,75231,887775.0,TX,Convenience Store,-10771469.5175025,-96.761757
,Afayi Fuel Station,,32.792622,76151,MESQUITE,3828 US HIGHWAY 80 E,1105,DALLAS,,3867810.24152188,75149,1588505.0,TX,Convenience Store,-10759761.9353363,-96.656586
,Bonnieview Dallas,,32.656429,76407,DALLAS,7410 BONNIE VIEW RD,7400,DALLAS,,3849788.95044705,75241,1652973.0,TX,Convenience Store,-10770135.2420858,-96.749771
,7-eleven Convenience Store 35399B,,32.782494,76447,MESQUITE,1325 GROSS RD,1322,DALLAS,,3866469.13890368,75149,1588598.0,TX,Convenience Store,-10756462.3143097,-96.626945
,Adis Chevron,,32.752705,77155,DALLAS,2313 S BUCKNER BLVD,8753,DALLAS,,3862525.50275639,75227,948640.0,TX,Convenience Store,-10762742.9599802,-96.683365
,EZ TRIP FOOD STORE 9,,32.909405,77177,DALLAS,9798 FOREST LN,5702,DALLAS,,3883285.15696062,75243,948908.0,TX,Convenience Store,-10766605.5236718,-96.718063
,7-Eleven 24092,,32.878067,77299,DALLAS,9750 WALNUT HILL LN,2551,DALLAS,,3879130.55827326,75238,884276.0,TX,Convenience Store,-10766660.7381392,-96.718559
,Family Dollar Store 7627,,32.72229,77454,DALLAS,620 N JIM MILLER RD,4848,DALLAS,,3858500.35379056,75217,883300.0,TX,Discount Retail,-10764605.4463807,-96.700096
,Lakeview Food Mart 1,Ste A,32.916435,77502,ROWLETT,8600 LAKEVIEW PKWY,4399,DALLAS,,3884217.35289021,75088,1574062.0,TX,Convenience Store,-10744373.4628875,-96.518349
,Dollar General 10133,,32.590614,77520,WILMER,406 E BELT LINE RD,1324,DALLAS,,3841090.04034791,75172,758209.0,TX,Discount Retail,-10762512.7512732,-96.681297
,GET N GO,,32.904819,77573,DALLAS,11424 AUDELIA RD,7309,DALLAS,,3882677.08155789,75243,757134.0,TX,Convenience Store,-10766559.6600415,-96.717651
,7-Eleven Inc. 32924,,32.829277,77936,DALLAS,5601 LEMMON AVE,6225,DALLAS,,3872665.20330655,75209,884828.0,TX,Convenience Store,-10778603.6497089,-96.825844
,Whole Foods Market 10239,Ste 351,32.869167,78030,DALLAS,8190 PARK LN,5908,DALLAS,,3877950.91904544,75231,938751.0,TX,Super Store,-10772200.7752375,-96.768326
,Dollar Tree 2187,Ste 100,32.673611,78103,GRAND PRAIRIE,2307 I-20,    ,DALLAS,,3852060.98608352,75052,939373.0,TX,Discount Retail,-10802284.6449854,-97.038574
,Dollar Tree 3729,Ste 108,32.73222,78130,BALCH SPRINGS,12250 LAKE JUNE RD,    ,DALLAS,,3859814.34806597,75180,939385.0,TX,Discount Retail,-10755357.4683635,-96.61702
,QuikTrip 921,,32.680939,78323,GRAND PRAIRIE,3768 S CARRIER PKWY,6670,DALLAS,,3853030.12593331,75052,938011.0,TX,Convenience Store,-10798766.8377568,-97.006973
,7 Eleven 26376,,32.851311,78325,IRVING,3401 N STORY RD,3440,DALLAS,,3875584.57514214,75062,938025.0,TX,Convenience Store,-10795350.9991818,-96.976288
,7 Eleven 21261,,32.709637,78327,GRAND PRAIRIE,230 W PIONEER PKWY,4945,DALLAS,,3856826.24860683,75051,938027.0,TX,Convenience Store,-10798786.4299872,-97.007149
,Dollar Tree 2637,,32.843769,78870,DALLAS,10606 GARLAND RD,2639,DALLAS,,3874585.22414976,75218,939830.0,TX,Discount Retail,-10763445.2746476,-96.689674
,Aldi 20,,32.762135,78917,DALLAS,2926 S BUCKNER BLVD,6907,DALLAS,,3863773.75669373,75227,951142.0,TX,Supermarket,-10762658.0232087,-96.682602
,Oversea Market #1,,32.73473,78922,DALLAS,1101 S WALTON WALKER BLVD,4242,DALLAS,,3860146.50876684,75211,950454.0,TX,Grocery Store,-10789134.9188159,-96.920448
,Aldi 29,,32.931229,78926,GARLAND,1518 BUCKINGHAM RD,4203,DALLAS,,3886179.31691365,75042,951145.0,TX,Supermarket,-10764311.562925,-96.697456
,Aldi 30,Ste 200C,32.909599,78931,DALLAS,9779 FOREST LN,5701,DALLAS,,3883310.88086217,75243,951151.0,TX,Supermarket,-10766664.1890434,-96.71859
,Aldi 56,,32.719368,78936,DALLAS,2440 W ILLINOIS AVE,1106,DALLAS,,3858113.72593881,75233,951152.0,TX,Supermarket,-10782204.6125971,-96.858192
,Express Food 1,,32.830696,79087,IRVING,1951 E GRAUWYLER RD,3140,DALLAS,,3872853.1904032,75061,905547.0,TX,Convenience Store,-10788869.0878719,-96.91806
,Sam's Club 4925,,32.816544,79188,DALLAS,2218 GREENVILLE AVE,7122,DALLAS,,3870978.48800346,75206,1656789.0,TX,Super Store,-10772326.4549426,-96.769455
,Aldi 16,,32.813343,79754,MESQUITE,3635 GUS THOMASSON RD,3630,DALLAS,,3870554.49589582,75150,941188.0,TX,Supermarket,-10757546.9001085,-96.636688
,Dollar General 3541,,32.801105,79781,MESQUITE,2711 MOTLEY DR,3812,DALLAS,,3868933.63843758,75150,940719.0,TX,Discount Retail,-10758496.4553649,-96.645218
,Valleyview Conoco,,32.835808,79821,IRVING,4900 W AIRPORT FWY,5801,DALLAS,,3873530.44577961,75062,941230.0,TX,Convenience Store,-10800501.0841039,-97.022552
,Aldi 54,,32.864193,79912,GARLAND,1601 W NORTHWEST HWY,5232,DALLAS,,3877291.6980932,75041,941384.0,TX,Supermarket,-10759261.6655446,-96.652092
,Aldi 72,,32.649277,79971,DALLAS,8034 CHRYSALIS DR,3613,DALLAS,,3848843.34532947,75237,941431.0,TX,Supermarket,-10782257.2667163,-96.858665
